starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:32 2021	1627975952	0	29	29	24
Tue Aug 03 16:32:32 2021	1627975952	3	221	224	221
Tue Aug 03 16:32:32 2021	1627975952	2	388	389	387
Tue Aug 03 16:32:48 2021	1627975968	0	389	389	388
Tue Aug 03 16:32:48 2021	1627975968	0	391	391	390
Tue Aug 03 16:32:48 2021	1627975968	0	399	400	398
Tue Aug 03 16:32:42 2021	1627975962	0	404	404	403
Tue Aug 03 16:32:48 2021	1627975968	0	404	404	401
Tue Aug 03 16:32:48 2021	1627975968	0	420	420	419
Tue Aug 03 16:32:32 2021	1627975952	2	419	420	418
Tue Aug 03 16:32:48 2021	1627975968	0	421	421	421
Tue Aug 03 16:32:48 2021	1627975968	0	425	425	425
Tue Aug 03 16:32:32 2021	1627975952	2	430	431	429
Tue Aug 03 16:32:48 2021	1627975968	0	434	435	434
Tue Aug 03 16:32:48 2021	1627975968	0	435	435	435
Tue Aug 03 16:32:32 2021	1627975952	2	434	436	433
Tue Aug 03 16:32:32 2021	1627975952	1	438	439	438
Tue Aug 03 16:32:48 2021	1627975968	0	444	444	443
Tue Aug 03 16:32:48 2021	1627975968	0	446	446	446
Tue Aug 03 16:32:48 2021	1627975968	0	451	451	450
Tue Aug 03 16:32:48 2021	1627975968	0	457	457	455
Tue Aug 03 16:32:32 2021	1627975952	2	455	457	455
Tue Aug 03 16:32:48 2021	1627975968	0	459	459	459
Tue Aug 03 16:32:46 2021	1627975966	0	468	468	467
Tue Aug 03 16:32:41 2021	1627975961	0	470	470	469
Tue Aug 03 16:32:48 2021	1627975968	0	474	474	473
Tue Aug 03 16:32:41 2021	1627975961	0	474	474	474
Tue Aug 03 16:32:41 2021	1627975961	0	477	478	477
Tue Aug 03 16:32:42 2021	1627975962	0	481	481	481
Tue Aug 03 16:32:48 2021	1627975968	0	484	484	483
Tue Aug 03 16:32:38 2021	1627975958	0	489	489	488
Tue Aug 03 16:32:32 2021	1627975952	2	489	491	489
Tue Aug 03 16:32:32 2021	1627975952	2	490	492	490
Tue Aug 03 16:32:42 2021	1627975962	0	492	492	492
Tue Aug 03 16:32:48 2021	1627975968	0	493	493	489
Tue Aug 03 16:32:38 2021	1627975958	0	493	493	493
Tue Aug 03 16:32:32 2021	1627975952	2	496	498	496
Tue Aug 03 16:32:42 2021	1627975962	0	500	500	499
Tue Aug 03 16:32:48 2021	1627975968	0	501	501	500
Tue Aug 03 16:32:42 2021	1627975962	0	501	501	501
