starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:31:59 2021	1627975919	0	29	29	24
Tue Aug 03 16:31:59 2021	1627975919	3	153	156	152
Tue Aug 03 16:32:14 2021	1627975934	0	569	569	569
Tue Aug 03 16:32:14 2021	1627975934	0	579	580	579
Tue Aug 03 16:32:14 2021	1627975934	0	595	595	595
Tue Aug 03 16:32:14 2021	1627975934	0	597	597	596
Tue Aug 03 16:32:14 2021	1627975934	0	602	602	602
Tue Aug 03 16:32:14 2021	1627975934	0	603	603	602
Tue Aug 03 16:32:03 2021	1627975923	0	621	622	621
Tue Aug 03 16:31:59 2021	1627975919	2	625	628	625
Tue Aug 03 16:32:02 2021	1627975922	0	635	635	635
Tue Aug 03 16:31:59 2021	1627975919	2	634	636	634
Tue Aug 03 16:32:04 2021	1627975924	0	639	640	639
Tue Aug 03 16:32:02 2021	1627975922	0	643	643	642
Tue Aug 03 16:32:05 2021	1627975925	0	643	643	643
Tue Aug 03 16:32:02 2021	1627975922	0	645	645	644
Tue Aug 03 16:32:01 2021	1627975921	0	647	647	646
Tue Aug 03 16:32:01 2021	1627975921	1	647	647	646
Tue Aug 03 16:32:14 2021	1627975934	0	648	648	647
Tue Aug 03 16:32:02 2021	1627975922	1	649	650	649
Tue Aug 03 16:32:04 2021	1627975924	0	651	652	651
Tue Aug 03 16:32:02 2021	1627975922	0	653	653	652
Tue Aug 03 16:32:01 2021	1627975921	0	654	654	653
Tue Aug 03 16:32:11 2021	1627975931	0	656	656	655
Tue Aug 03 16:32:12 2021	1627975932	0	656	656	655
Tue Aug 03 16:32:01 2021	1627975921	0	657	657	656
Tue Aug 03 16:32:13 2021	1627975933	0	657	657	657
Tue Aug 03 16:31:59 2021	1627975919	2	656	659	656
Tue Aug 03 16:32:11 2021	1627975931	0	659	659	658
Tue Aug 03 16:32:14 2021	1627975934	1	660	661	659
Tue Aug 03 16:32:14 2021	1627975934	0	667	668	666
Tue Aug 03 16:32:02 2021	1627975922	0	670	670	669
Tue Aug 03 16:32:10 2021	1627975930	0	670	670	669
Tue Aug 03 16:32:10 2021	1627975930	0	670	671	670
Tue Aug 03 16:32:02 2021	1627975922	0	672	672	672
Tue Aug 03 16:32:11 2021	1627975931	0	673	673	673
Tue Aug 03 16:32:13 2021	1627975933	0	673	673	673
Tue Aug 03 16:32:07 2021	1627975927	0	674	674	673
Tue Aug 03 16:32:01 2021	1627975921	0	674	675	674
Tue Aug 03 16:32:02 2021	1627975922	0	674	675	674
Tue Aug 03 16:32:02 2021	1627975922	0	674	675	674
Tue Aug 03 16:32:01 2021	1627975921	0	675	676	675
Tue Aug 03 16:32:01 2021	1627975921	0	676	676	675
Tue Aug 03 16:32:01 2021	1627975921	0	676	676	675
Tue Aug 03 16:32:12 2021	1627975932	0	677	677	676
Tue Aug 03 16:32:01 2021	1627975921	0	677	677	677
Tue Aug 03 16:32:02 2021	1627975922	0	677	677	677
Tue Aug 03 16:32:02 2021	1627975922	0	677	677	677
Tue Aug 03 16:32:01 2021	1627975921	0	679	679	679
Tue Aug 03 16:32:12 2021	1627975932	0	680	680	680
Tue Aug 03 16:32:01 2021	1627975921	0	680	680	680
Tue Aug 03 16:32:11 2021	1627975931	0	680	680	680
Tue Aug 03 16:32:01 2021	1627975921	0	680	681	679
Tue Aug 03 16:32:01 2021	1627975921	1	681	681	680
Tue Aug 03 16:32:11 2021	1627975931	0	681	681	681
Tue Aug 03 16:32:01 2021	1627975921	0	681	681	681
Tue Aug 03 16:32:01 2021	1627975921	0	681	681	681
Tue Aug 03 16:32:01 2021	1627975921	0	681	681	681
Tue Aug 03 16:32:02 2021	1627975922	0	681	682	681
Tue Aug 03 16:32:02 2021	1627975922	0	681	682	681
Tue Aug 03 16:32:14 2021	1627975934	0	681	682	681
Tue Aug 03 16:32:01 2021	1627975921	0	682	682	681
Tue Aug 03 16:32:10 2021	1627975930	0	682	682	681
Tue Aug 03 16:32:01 2021	1627975921	0	683	683	682
Tue Aug 03 16:32:02 2021	1627975922	0	683	683	682
Tue Aug 03 16:32:14 2021	1627975934	0	683	683	683
Tue Aug 03 16:32:01 2021	1627975921	0	684	684	683
Tue Aug 03 16:32:07 2021	1627975927	0	684	684	683
Tue Aug 03 16:32:10 2021	1627975930	0	684	684	682
Tue Aug 03 16:32:11 2021	1627975931	0	684	684	684
Tue Aug 03 16:32:02 2021	1627975922	0	684	685	684
Tue Aug 03 16:32:01 2021	1627975921	0	684	685	683
Tue Aug 03 16:32:01 2021	1627975921	0	686	686	686
Tue Aug 03 16:31:59 2021	1627975919	1	685	687	685
Tue Aug 03 16:32:01 2021	1627975921	0	687	687	686
Tue Aug 03 16:32:01 2021	1627975921	0	687	687	687
Tue Aug 03 16:32:01 2021	1627975921	0	688	688	687
Tue Aug 03 16:32:01 2021	1627975921	0	688	688	688
Tue Aug 03 16:32:04 2021	1627975924	0	689	689	688
